doi,title,abstract,label_included
https://doi.org/10.1002/9780470723586,Statistical Issues in Drug Development,"Drug development is the process of finding and producing therapeutically useful pharmaceuticals, turning them into safe and effective medicine, and producing reliable information regarding the appropriate dosage and dosing intervals. With regulatory authorities demanding increasingly higher standards in such developments, statistics has become an intrinsic and critical element in the design and conduct of drug development programmes. Statistical Issues in Drug Development presents an essential and thought provoking guide to the statistical issues and controversies involved in drug development. This highly readable second edition has been updated to include: Comprehensive coverage of the design and interpretation of clinical trials. Expanded sections on missing data, equivalence, meta-analysis and dose finding. An examination of both Bayesian and frequentist methods. A new chapter on pharmacogenomics and expanded coverage of pharmaco-epidemiology and pharmaco-economics. Coverage of the ICH guidelines, in particular ICH E9, Statistical Principles for Clinical Trials. It is hoped that the book will stimulate dialogue between statisticians and life scientists working within the pharmaceutical industry. The accessible and wide-ranging coverage make it essential reading for both statisticians and non-statisticians working in the pharmaceutical industry, regulatory bodies and medical research institutes. There is also much to benefit undergraduate and postgraduate students whose courses include a medical statistics component. Ã‚Â© 2007 John Wiley & Sons, Ltd.",0
https://doi.org/10.1007/s11031-015-9499-5,Kindness reduces avoidance goals in socially anxious individuals,"Social avoidance goals have been linked to negative social outcomes and may contribute to the social impairment experienced by socially anxious individuals. In this study, we examined whether engaging in acts of kindness, a technique designed to increase happiness, decreases social avoidance goals in socially anxious participants and whether social anxiety reduction and hedonic enhancement (i.e., increased positive affect) mediate this effect. Socially anxious undergraduates were randomly assigned to three conditions: performing acts of kindness (AK; NÂ =Â 38); exposure only (EO; NÂ =Â 41); and recording life details (LD; NÂ =Â 36), a neutral control condition. Participants engaged in these activities for 4Â weeks. AK resulted in the greatest decrease in social avoidance goals by post-intervention. EO also reduced avoidance goals over time relative to LD. The effect of task condition on avoidance goals over time was fully mediated by social anxiety reduction over time. Neither AK nor EO increased positive affect. Implications for social anxiety treatment are discussed. Â© 2015, Springer Science+Business Media New York.",0
https://doi.org/10.1016/j.healthplace.2014.08.009,Individual and province inequalities in health among older people in China: Evidence and policy implications,"This paper uses multi-level modelling to analyse data from the nationally-representative Chinese Health and Retirement Longitudinal Study (CHARLS) in order to investigate the characteristics associated with poor health among older people, including individual and household characteristics as well as the characteristics of the provinces in which the older person lives (contextual effects). The results show that older Chinese women, rural residents, those with an education level lower than high school, without individual income sources, who are ex-smokers, and those from poor economic status households are more likely to report disability and poor self-rated health. Differentials in the health outcomes remain substantial between provinces even after controlling for a number of individual and household characteristics.",0
https://doi.org/10.1002/hec.804,Comprehensive decision analytical modelling in economic evaluation: a Bayesian approach,"Decision analytical models are widely used in economic evaluation of health care interventions with the objective of generating valuable information to assist health policy decision-makers to allocate scarce health care resources efficiently. The whole decision modelling process can be summarised in four stages: (i) a systematic review of the relevant data (including meta-analyses), (ii) estimation of all inputs into the model (including effectiveness, transition probabilities and costs), (iii) sensitivity analysis for data and model specifications, and (iv) evaluation of the model. The aim of this paper is to demonstrate how the individual components of decision modelling, outlined above, may be addressed simultaneously in one coherent Bayesian model (sometimes known as a comprehensive decision analytical model) and evaluated using Markov Chain Monte Carlo simulation implemented in the specialist software WinBUGS. To illustrate the method described, it is applied to two illustrative examples: (1) The prophylactic use of neurominidase inhibitors for the prevention of influenza. (2) The use of taxanes for the second-line treatment of advanced breast cancer. The advantages of integrating the four stages outlined into one comprehensive decision analytical model, compared to the conventional 'two-stage' approach, are discussed.",0
https://doi.org/10.1007/s11336-008-9101-0,"On the Use, the Misuse, and the Very Limited Usefulness of Cronbach’s Alpha","This discussion paper argues that both the use of Cronbach's alpha as a reliability estimate and as a measure of internal consistency suffer from major problems. First, alpha always has a value, which cannot be equal to the test score's reliability given the interitem covariance matrix and the usual assumptions about measurement error. Second, in practice, alpha is used more often as a measure of the test's internal consistency than as an estimate of reliability. However, it can be shown easily that alpha is unrelated to the internal structure of the test. It is further discussed that statistics based on a single test administration do not convey much information about the accuracy of individuals' test performance. The paper ends with a list of conclusions about the usefulness of alpha.",0
https://doi.org/10.1016/j.jmp.2010.08.009,The form of the forgetting curve and the fate of memories,"Psychologists have debated the form of the forgetting curve for over a century. We focus on resolving three problems that have blocked a clear answer on this issue. First, we analyzed data from a longitudinal experiment measuring cued recall and stem completion from 1 min to 28 days after study, with more observations per interval per participant than in previous studies. Second, we analyzed the data using hierarchical models, avoiding distortions due to averaging over participants. Third, we implemented the models in a Bayesian framework, enabling our analysis to account for the ability of candidate forgetting functions to imitate each other. An exponential function provided the best fit to individual participant data collected under both explicit and implicit retrieval instructions, but Bayesian model selection favored a power function. All analysis supported above chance asymptotic retention, suggesting that, despite quite brief study, storage of some memories was effectively permanent.",0
https://doi.org/10.1016/j.jspi.2003.09.026,A class of shrinkage priors for the dependence structure in longitudinal data,"We review a general class of priors for the dependence in longitudinal (temporal) data in settings where a parametric form is often assumed and place them in the context of the literature. The idea is to embed priors on the parameters of the structure within a richer, more flexible class of priors. These priors are shown to contain standard objective priors for structured and unstructured dependence models as special cases under certain conditions and parameterizations. Recommendations and specific details regarding their use are provided.",0
https://doi.org/10.1016/j.paid.2015.02.023,Examining the association between psychological wellbeing with daily and intra-individual variation in subjective wellbeing,"Abstract A number of studies identify distinct dimensions of psychological and subjective wellbeing. However, few investigations have examined how these distinctive wellbeing dimensions may be related over time. The present study aimed to contribute to this growing body of research by adopting a measurement burst design to examine the association between psychological functioning with daily and intra-individual variation in affect over a 14-day period, controlling for personality. Participants ( N  = 45) comprised a sample of Australian adults from Canberra, Australia who were observed on up to 14 days over a 2-week period (Mobs = 10.9 (SD = 3.1)). Maximum Likelihood (ML) estimates from a multi-level structural equation model identified psychological functioning as only weakly associated with daily positive affect, and unrelated to daily levels of negative affect and intra-individual variation in both affect domains when adjusting for demographic, personality and daily stressors. Positive and negative daily events were most strongly associated with positive and negative feelings, respectively. Post-hoc analysis within a Bayesian context confirmed our ML results whilst a Monte Carlo simulation identified sufficient statistical power of significant parameters. Overall, evidence for an association between psychological functioning and daily affect was not identified.",0
https://doi.org/10.3758/bf03200523,RTSYS: A DOS application for the analysis of reaction time data,"RTSYS is a menu-driven DOS application for the manipulation, analysis, and graphical display of reaction time data. It can be used either in a single-task environment under DOS, with access to a set operating system commands, or as an application under Windows. All functions have context-sensitive help. RTSYS fits the ex-Gaussian distribution to reaction time data without the difficulties usually associated with numerical parameter estimation. Distribution fitting and flexible censoring and rescaling options allow RTSYS to address the problems of reaction time distribution skew and outlying responses with reasonable sample sizes. RTSYS can automatically process multiple input files from experiments with arbitrary designs and produce formatted output of statistics for further processing by graphical and inferential statistical packages. The present article reviews and explains techniques used by RTSYS and provides an overview of the operation of the program.",0
https://doi.org/10.1080/10705510709336745,Comparison of Approaches to Constructing Confidence Intervals for Mediating Effects Using Structural Equation Models,"Abstract Mediators are variables that explain the association between an independent variable and a dependent variable. Structural equation modeling (SEM) is widely used to test models with mediating effects. This article illustrates how to construct confidence intervals (CIs) of the mediating effects for a variety of models in SEM. Specifically, mediating models with 1 mediator, 2 intermediate mediators, 2 specific mediators, and 1 mediator in 2 independent groups are illustrated. By using phantom variables (Rindskopf, 1984), a Wald CI, percentile bootstrap CI, bias-corrected bootstrap CI, and a likelihood-based CI on the mediating effect are easily constructed with some existing SEM packages, such as LISREL, M plus, and Mx. Monte Carlo simulation studies are used to compare the coverage probabilities of these CIs. The results show that the coverage probabilities of these CIs are comparable when the mediating effect is large or when the sample size is large. However, when the mediating effect and the sam...",0
https://doi.org/10.1080/10705511.2014.935266,Inference and Interval Estimation Methods for Indirect Effects With Latent Variable Models,"Although much is known about the performance of recent methods for inference and interval estimation for indirect or mediated effects with observed variables, little is known about their performance in latent variable models. This article presents an extensive Monte Carlo study of 11 different leading or popular methods adapted to structural equation models with latent variables. Manipulated variables included sample size, number of indicators per latent variable, internal consistency per set of indicators, and 16 different path combinations between latent variables. Results indicate that some popular or previously recommended methods, such as the bias-corrected bootstrap and asymptotic standard errors had poorly calibrated Type I error and coverage rates in some conditions. Likelihood-based confidence intervals, the distribution of the product method, and the percentile bootstrap emerged as leading methods for both interval estimation and inference, whereas joint significance tests and the partial poster...",0
https://doi.org/10.1198/108571108x273160,Bayesian multivariate process modeling for prediction of forest attributes,"This article investigates multivariate spatial process models suitable for predicting multiple forest attributes using a multisource forest inventory approach. Such data settings involve several spatially dependent response variables arising in each location. Not only does each variable vary across space, they are likely to be correlated among themselves. Traditional approaches have attempted to model such data using simplifying assumptions, such as a common rate of decay in the spatial correlation or simplified cross-covariance structures among the response variables. Our current focus is to produce spatially explicit, tree species specific, prediction of forest biomass per hectare over a region of interest. Modeling such associations presents challenges in terms of validity of probability distributions as well as issues concerning identifiability and estimability of parameters. Our template encompasses several models with different correlation structures. These models represent different hypotheses whose tenability are assessed using formal model comparisons. We adopt a Bayesian hierarchical approach offering a sampling-based inferential framework using efficient Markov chain Monte Carlo methods for estimating model parameters. Ã‚Â© 2008 American Statistical Association and the International Biometric Society.",0
https://doi.org/10.2307/2533273,Robust Restricted Maximum Likelihood in Mixed Linear Models,"SUMMARY Definitions of robust maximum likelihood (robust ML) and robust restricted maximum likelihood (robust REML) are introduced, and the definitions are applied to data from biological and chemical experiments. A simulation study is undertaken to investigate the asymptotic properties of robust ML and robust REML in small samples and to examine the advantages of using robust methods. 1. Introduction and Definitions Linear models with multiple sources of error are widely used in designed experiments across many scientific fields. An example of such an experiment is described by Patterson and Nabugoomu (1992), from Patterson and Silvey (1980). Six varieties of wheat were grown at ten centres that formed a sample of the main types of growing area for wheat in Scotland, and the yields in tonnes/hectare were recorded. The experiment is unbalanced because, of 60 possible variety-centre combinations, only 46 were used. At seven centres, four varieties were grown and at the remaining three centres, all six varieties were grown. In this paper we fit the simplest mixed linear model proposed for this data by Patterson and Nabugoomu, namely:",0
https://doi.org/10.1207/s15327906mbr3304_5,Multiple Imputation for Multivariate Missing-Data Problems: A Data Analyst's Perspective,"Analyses of multivariate data are frequently hampered by missing values. Until recently, the only missing-data methods available to most data analysts have been relatively ad1 hoc practices such as listwise deletion. Recent dramatic advances in theoretical and computational statistics, however, have produced anew generation of flexible procedures with a sound statistical basis. These procedures involve multiple imputation (Rubin, 1987), a simulation technique that replaces each missing datum with a set of m > 1 plausible values. The rn versions of the complete data are analyzed by standard complete-data methods, and the results are combined using simple rules to yield estimates, standard errors, and p-values that formally incorporate missing-data uncertainty. New computational algorithms and software described in a recent book (Schafer, 1997a) allow us to create proper multiple imputations in complex multivariate settings. This article reviews the key ideas of multiple imputation, discusses the software programs currently available, and demonstrates their use on data from the Adolescent Alcohol Prevention Trial (Hansen & Graham, 199 I).",0
https://doi.org/10.1016/j.paid.2015.08.009,Associations of self-compassion and global self-esteem with positive and negative affect and stress reactivity in daily life: Findings from a smart phone study,"The present study examined trait self-compassion and trait self-esteem in relation to positive (PA) and negative affect (NA), as well as their associations with stress reactivity in daily life. One hundred and one subjects completed questionnaires on perceived stress and affect twice a day for 14 consecutive days on smart phones. Results indicated that self-compassion and global self-esteem were positively related to PA and negatively to NA. After controlling for self-esteem, self-compassion remained significantly associated with PA and NA, whereas self-esteem was no longer associated with PA and NA after controlling for self-compassion. Furthermore, results indicated that self-compassion buffered the effect of stress on NA, whereas this was not the case for global self-esteem. Neither self-compassion nor self-esteem moderated the relation of stress on PA in separate models. The results of the present study add to the growing literature regarding beneficial relations of self-compassion and psychological well-being and further emphasize the distinction of self-compassion and global self-esteem.",0
https://doi.org/10.1080/10705511.2011.557337,Testing Measurement Invariance: A Comparison of Multiple-Group Categorical CFA and IRT,"This study investigated two major approaches in testing measurement invariance for ordinal measures: multiple-group categorical confirmatory factor analysis (MCCFA) and item response theory (IRT). Unlike the ordinary linear factor analysis, MCCFA can appropriately model the ordered-categorical measures with a threshold structure. A simulation study under various conditions was conducted for the comparison of MCCFA and IRT with respect to the power to detect the lack of invariance across groups. Both MCCFA and IRT showed reasonable power to identify the noninvariant item when differential item functioning (DIF) was large. The false positive rates were relatively high in both methods, however. The adjustment of critical values improved the performance of MCCFA by reducing false positive rates substantially and yet yielding adequate power. Alternative model fit indexes of MCCFA were also examined and they were found to be reliable to detect DIF, in general.",0
https://doi.org/10.1080/10705510701301602,The Model-Size Effect on Traditional and Modified Tests of Covariance Structures,"According to Kenny and McCoach (2003), chi-square tests of structural equation models produce inflated Type I error rates when the degrees of freedom increase. So far, the amount of this bias in large models has not been quantified. In a Monte Carlo study of confirmatory factor models with a range of 48 to 960 degrees of freedom it was found that the traditional maximum likelihood ratio statistic, T ML , overestimates nominal Type I error rates up to 70% under conditions of multivariate normality. Some alternative statistics for the correction of model-size effects were also investigated: the scaled Satorra–Bentler statistic, T SC ; the adjusted Satorra–Bentler statistic, T AD (Satorra & Bentler, 1988, 1994); corresponding Bartlett corrections, T MLb , T SCb , and T ADb (Bartlett, 1950); and corresponding Swain corrections, T MLs , T SCs , and T ADs (Swain, 1975). The empirical findings indicate that the model test statistic T MLs should be applied when large structural equation models are analyzed and th...",0
https://doi.org/10.1348/000711009x480640,Coping with stress through decisional control: Quantification of negotiating the environment,"Coping with stress through 'decisional control' - positioning oneself in a multifaceted stressing situation so as to minimize the likelihood of an untoward event - is modelled within a tree-structure scenario, whose architecture hierarchically nests elements of varying threat. Analytic and simulation platforms quantify the game-like interplay of cognitive demands and threat reduction. When elements of uncertainty enter the theoretical structure, specifically at more subordinate levels of the hierarchy, the mathematical expectation of threat is particularly exacerbated. As quantified in this model, the exercise of decisional control is demonstrably related to reduction in expected threat (the minimum correlation across comprehensive parameter settings being .55). Disclosure of otherwise intractable stress-coping subtleties, endowed by the quantitative translation of verbal premises, is underscored. Formalization of decisional stress control is seen to usher in linkages to augmenting formal developments from fields of cognitive science, preference and choice modelling, and nonlinear dynamical systems theory. Model-prescribed empirical consequences are stipulated.",0
https://doi.org/10.1177/014662168100500212,Using Simulation Results to Choose a Latent Trait Model,"A latent trait model goodness-of-fit statistic was defined, and its relationships to several other com monly used fit statistics were described. Simulation data were used to examine the behavior of these fit statistics under conditions similar to those found with real data. The simulation data were generated for 36 pseudo-items and 1,000 simulees using three-, two-, and one-parameter logistic latent trait models. The data were analyzed using three-, two-, and one-parameter models. Between-model comparisons were made of the fit statistics, trait es timates, and item parameter estimates. The three generating models produced clearly different pat terns of results. The simulation results were com pared to results for real data involving seventh- and eighth-grade students' performance on eight achievement tests. The achievement test results ap peared most similar to the simulation results based on data generated with the three-parameter model. Some practical problems that can result from using an inappropriate model with multiple-choice tests are discussed.",0
https://doi.org/10.3102/1076998607302631,The D-Optimality Item Selection Criterion in the Early Stage of CAT: A Study With the Graded Response Model,"During the early stage of computerized adaptive testing (CAT), item selection criteria based on Fisher’s information often produce less stable latent trait estimates than the Kullback-Leibler global information criterion. Robustness against early stage instability has been reported for the D-optimality criterion in a polytomous CAT with the Nominal Response Model and is shown herein to be reproducible for the Graded Response Model. For comparative purposes, the A-optimality and the global information criteria are also applied. Their item selection is investigated as a function of test progression and item bank composition. The results indicate how the selection of specific item parameters underlies the criteria performances evaluated via accuracy and precision of estimation. In addition, the criteria item exposure rates are compared, without the use of any exposure controlling measure. On the account of stability, precision, accuracy, numerical simplicity, and less evidently, item exposure rate, the D-opt...",0
,Latent growth mixture modeling : a simulation study,"Latent growth curve modeling (LGM) combined with the latent classes (LGMM) in the SEM context, is the method under investigation in this study. This dynamic way of analyzing longitudinal data takes an increasingly central position in the social sciences, e.g. in psychology. Despite twenty years development of the theory behind the LGM and LGMM, these are novel methods in analyzing data in practice. With limited sample size the functionality of the model is unknown. The aim of this dissertation was to examine the functionality of the linear LGM model with four repeated measurements, which is a typical case in longitudinal research. LGMM parameters were estimated using maximum likelihood estimation with robust standard errors (MLR). The effect of differences between latent classes in mean values of latent components with varying sample sizes is examined in this study. Other affecting factors examined are reliability of observed variables, number of repeated measures, model construct and additional measurement points. The functionality of LGMM was approached from three different viewpoints: 1) problems in estimation of model parameters expressed as number of failed estimations and as the number of negative variance estimates, 2) the ability of AIC, BIC and aBIC information criteria and VLMR, LMR and BLRT statistical tests to decide the number of latent classes, and 3) good parameter estimation, which was evaluated using four different criteria: MSE, proportion of bias in MSE, bias of standard error, and 95 % coverage. The results of Monte Carlo simulations suggest that from information criteria AIC, BIC aBIC and VLMR and LMR tests, BIC is most useful with small sample sizes ( ) and aBIC with large sample sizes ( ). The few results suggest that the BLRT test could be useful in any situation. More investigation is needed to further support the functionality of this test. The study reveals that the estimation of LGMM fails only in a few cases, and problems in estimation appear mainly in the negative variance estimates. The results of the simulations suggest that it is possible to identify the true two-latent classes when SMD is at least 2, in which case reliability of observed variables should be high and the sample size should be relatively large. In that case estimation produce good parameter estimates. When SMD is 4 or 5, the probability in identifying the right two-latent-class solution instead of the wrong one-class solution is greater than .70 with the smallest sample size (n=50) using BIC in models with high reliability. To achieve reliable results in estimation, the sample size should be greater than 50. 500 < n 500 ≥ n",0
https://doi.org/10.1177/004005999202400310,Curriculum-Based Oral Reading Fluency Norms for Students in Grades 2 through 5,,0
https://doi.org/10.1037/a0015858,Evaluating model fit for growth curve models: Integration of fit indices from SEM and MLM frameworks.,"Evaluating overall model fit for growth curve models involves 3 challenging issues. (a) Three types of longitudinal data with different implications for model fit may be distinguished: balanced on time with complete data, balanced on time with data missing at random, and unbalanced on time. (b) Traditional work on fit from the structural equation modeling (SEM) perspective has focused only on the covariance structure, but growth curve models have four potential sources of misspecification: within-individual covariance matrix, between-individuals covariance matrix, marginal mean structure, and conditional mean structure. (c) Growth curve models can be estimated in both the SEM and multilevel modeling (MLM) frameworks; these have different emphases for the evaluation of model fit. In this article, the authors discuss the challenges presented by these 3 issues in the calculation and interpretation of SEM- and MLM-based fit indices for growth curve models and conclude by identifying some lines for future research.",0
